sample_idx,theta_pan_deg,theta_pitch_deg,delta_theta_pan_deg,delta_theta_pitch_deg,u_c,v_c,u_i,v_i,delta_u_i,delta_v_i,detected,raw_image,mask_image,overlay_image
0,6.0,3.0,-2,-2,640.0,360.0,621.560975609756,377.9268292682927,-18.439024390243958,17.926829268292693,1,raw_00_pan_6.0_pitch_3.0.jpg,mask_00_pan_6.0_pitch_3.0.png,overlay_00_pan_6.0_pitch_3.0.jpg
1,6.0,4.0,-2,-1,640.0,360.0,622.439024390244,378.0731707317073,-17.560975609756042,18.073170731707307,1,raw_01_pan_6.0_pitch_4.0.jpg,mask_01_pan_6.0_pitch_4.0.png,overlay_01_pan_6.0_pitch_4.0.jpg
2,6.0,5.0,-2,0,640.0,360.0,623.9268292682926,379.4390243902439,-16.073170731707364,19.4390243902439,1,raw_02_pan_6.0_pitch_5.0.jpg,mask_02_pan_6.0_pitch_5.0.png,overlay_02_pan_6.0_pitch_5.0.jpg
3,6.0,6.0,-2,1,640.0,360.0,628.0,379.5,-12.0,19.5,1,raw_03_pan_6.0_pitch_6.0.jpg,mask_03_pan_6.0_pitch_6.0.png,overlay_03_pan_6.0_pitch_6.0.jpg
4,6.0,7.0,-2,2,640.0,360.0,639.0,380.0,-1.0,20.0,1,raw_04_pan_6.0_pitch_7.0.jpg,mask_04_pan_6.0_pitch_7.0.png,overlay_04_pan_6.0_pitch_7.0.jpg
5,7.0,3.0,-1,-2,640.0,360.0,621.5,378.5,-18.5,18.5,1,raw_05_pan_7.0_pitch_3.0.jpg,mask_05_pan_7.0_pitch_3.0.png,overlay_05_pan_7.0_pitch_3.0.jpg
6,7.0,4.0,-1,-1,640.0,360.0,621.560975609756,378.9268292682927,-18.439024390243958,18.926829268292693,1,raw_06_pan_7.0_pitch_4.0.jpg,mask_06_pan_7.0_pitch_4.0.png,overlay_06_pan_7.0_pitch_4.0.jpg
7,7.0,5.0,-1,0,640.0,360.0,623.5714285714286,379.42857142857144,-16.428571428571445,19.428571428571445,1,raw_07_pan_7.0_pitch_5.0.jpg,mask_07_pan_7.0_pitch_5.0.png,overlay_07_pan_7.0_pitch_5.0.jpg
8,7.0,6.0,-1,1,640.0,360.0,628.0731707317074,379.4390243902439,-11.926829268292636,19.4390243902439,1,raw_08_pan_7.0_pitch_6.0.jpg,mask_08_pan_7.0_pitch_6.0.png,overlay_08_pan_7.0_pitch_6.0.jpg
9,7.0,7.0,-1,2,640.0,360.0,638.9347826086956,379.9347826086956,-1.0652173913043725,19.934782608695627,1,raw_09_pan_7.0_pitch_7.0.jpg,mask_09_pan_7.0_pitch_7.0.png,overlay_09_pan_7.0_pitch_7.0.jpg
10,8.0,3.0,0,-2,640.0,360.0,623.0,371.375,-17.0,11.375,1,raw_10_pan_8.0_pitch_3.0.jpg,mask_10_pan_8.0_pitch_3.0.png,overlay_10_pan_8.0_pitch_3.0.jpg
11,8.0,4.0,0,-1,640.0,360.0,623.439024390244,371.0731707317073,-16.560975609756042,11.073170731707307,1,raw_11_pan_8.0_pitch_4.0.jpg,mask_11_pan_8.0_pitch_4.0.png,overlay_11_pan_8.0_pitch_4.0.jpg
12,8.0,5.0,0,0,640.0,360.0,623.5714285714286,371.42857142857144,-16.428571428571445,11.428571428571445,1,raw_12_pan_8.0_pitch_5.0.jpg,mask_12_pan_8.0_pitch_5.0.png,overlay_12_pan_8.0_pitch_5.0.jpg
13,8.0,6.0,0,1,640.0,360.0,629.439024390244,371.9268292682927,-10.560975609756042,11.926829268292693,1,raw_13_pan_8.0_pitch_6.0.jpg,mask_13_pan_8.0_pitch_6.0.png,overlay_13_pan_8.0_pitch_6.0.jpg
14,8.0,7.0,0,2,640.0,360.0,639.5,372.5,-0.5,12.5,1,raw_14_pan_8.0_pitch_7.0.jpg,mask_14_pan_8.0_pitch_7.0.png,overlay_14_pan_8.0_pitch_7.0.jpg
15,9.0,3.0,1,-2,640.0,360.0,624.5,355.0,-15.5,-5.0,1,raw_15_pan_9.0_pitch_3.0.jpg,mask_15_pan_9.0_pitch_3.0.png,overlay_15_pan_9.0_pitch_3.0.jpg
16,9.0,4.0,1,-1,640.0,360.0,624.9347826086956,354.9347826086956,-15.065217391304373,-5.0652173913043725,1,raw_16_pan_9.0_pitch_4.0.jpg,mask_16_pan_9.0_pitch_4.0.png,overlay_16_pan_9.0_pitch_4.0.jpg
17,9.0,5.0,1,0,640.0,360.0,625.439024390244,355.0731707317073,-14.560975609756042,-4.926829268292693,1,raw_17_pan_9.0_pitch_5.0.jpg,mask_17_pan_9.0_pitch_5.0.png,overlay_17_pan_9.0_pitch_5.0.jpg
18,9.0,6.0,1,1,640.0,360.0,630.5,355.5,-9.5,-4.5,1,raw_18_pan_9.0_pitch_6.0.jpg,mask_18_pan_9.0_pitch_6.0.png,overlay_18_pan_9.0_pitch_6.0.jpg
19,9.0,7.0,1,2,640.0,360.0,641.439024390244,356.0731707317073,1.439024390243958,-3.9268292682926926,1,raw_19_pan_9.0_pitch_7.0.jpg,mask_19_pan_9.0_pitch_7.0.png,overlay_19_pan_9.0_pitch_7.0.jpg
20,10.0,3.0,2,-2,640.0,360.0,613.5714285714286,341.42857142857144,-26.428571428571445,-18.571428571428555,1,raw_20_pan_10.0_pitch_3.0.jpg,mask_20_pan_10.0_pitch_3.0.png,overlay_20_pan_10.0_pitch_3.0.jpg
21,10.0,4.0,2,-1,640.0,360.0,613.5714285714286,341.42857142857144,-26.428571428571445,-18.571428571428555,1,raw_21_pan_10.0_pitch_4.0.jpg,mask_21_pan_10.0_pitch_4.0.png,overlay_21_pan_10.0_pitch_4.0.jpg
22,10.0,5.0,2,0,640.0,360.0,620.0,341.375,-20.0,-18.625,1,raw_22_pan_10.0_pitch_5.0.jpg,mask_22_pan_10.0_pitch_5.0.png,overlay_22_pan_10.0_pitch_5.0.jpg
23,10.0,6.0,2,1,640.0,360.0,633.0,342.0,-7.0,-18.0,1,raw_23_pan_10.0_pitch_6.0.jpg,mask_23_pan_10.0_pitch_6.0.png,overlay_23_pan_10.0_pitch_6.0.jpg
24,10.0,7.0,2,2,640.0,360.0,644.4285714285714,342.57142857142856,4.428571428571445,-17.428571428571445,1,raw_24_pan_10.0_pitch_7.0.jpg,mask_24_pan_10.0_pitch_7.0.png,overlay_24_pan_10.0_pitch_7.0.jpg
